Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
36,Al1 Ta1 Ti1 Pd1,AlTiPdTa,SS,SS,-5.37759410969561,41.4265114407674,94.5051654338874,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
37,Al1 Ta1 Ti1 Nb1,AlTiNbTa,SS,SS,-6.82522443686913,51.6260312612446,93.5112419998522,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
38,Al1 Ta1 Ti1 Hf1,AlTiHfTa,SS,SS,-10.0203051588856,51.6051161707558,85.1658373845015,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
39,Al1 Ta1 Mo1 V1,AlVMoTa,SS,SS,-5.49440999841348,36.3435362954718,81.7226992593274,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25
40,Al1 Ta1 Mo1 Pd1,AlMoPdTa,SS,SS,-3.60922580914594,36.0468708913981,85.5382692558413,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
41,Al1 Ta1 Mo1 Nb1,AlNbMoTa,SS,SS,-3.47102031619672,37.5844262905834,81.9953757324327,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25
42,Al1 Ta1 Mo1 Hf1,AlMoHfTa,SS,SS,-2.41126629191464,35.4006462629225,83.1497517184918,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
43,Al1 Ta1 V1 Pd1,AlVPdTa,SS,SS,-5.32325301853346,39.1037660626664,92.9488687537361,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
44,Al1 Ta1 V1 Nb1,AlVNbTa,SS,SS,-6.33723850375864,49.619267966578,95.0373496627395,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
45,Al1 Ta1 V1 Hf1,AlVHfTa,SS,SS,-8.23949404551227,49.6572688662977,86.0639722467645,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
46,Al1 Ta1 Pd1 Nb1,AlNbPdTa,SS,SS,-3.76150368337361,40.9032230463506,94.3737922150223,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25
47,Al1 Ta1 Pd1 Hf1,AlPdHfTa,SS,SS,-2.64162659343287,36.0378868398779,94.7761052103258,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
48,Al1 Ta1 Nb1 Hf1,AlNbHfTa,SS,SS,-8.04680855055989,49.6172973273624,88.6582171309187,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
49,Al1 Zr1 Ti1 Mo1,AlTiZrMo,SS,SS,-4.83261377880557,36.6349392311935,83.7661286935356,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
50,Al1 Zr1 Ti1 V1,AlTiVZr,IM,IM,-10.5396116780481,56.5738792527926,103.217534728448,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
51,Al1 Zr1 Ti1 Pd1,AlTiZrPd,SS+IM,SS,-5.78591188736846,43.6049304997953,111.355601674956,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
52,Al1 Zr1 Ti1 Nb1,AlTiZrNb,SS,SS,-11.7611545717258,53.3419340247266,84.0880146269638,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
